COMUNE;punteggio_uniformita_formato_dati;punteggio_facilita_estrazione_dati;punteggio_completezza_dati;punteggio_medio;numero_di_residenti
Cellamare;0;0;0;0;5789
Noci;0.0555555555555556;0;0.28125;0.112268518518519;19211
Bari;0.4;0;0.75;0.383333333333333;1260142
Capurso;0;1;0;0.333333333333333;15681
Locorotondo;0.111111111111111;0;0.3125;0.141203703703704;14156
Modugno;0.108333333333333;0;0.671875;0.260069444444444;38443
Toritto;0.0555555555555556;0;0.25;0.101851851851852;8461
Giovinazzo;0.155555555555556;0;0.609375;0.254976851851852;20396
Castellana Grotte;0.0555555555555556;0;0.25;0.101851851851852;19536
Altamura;0.8;0;1;0.6;70595
Monopoli;0;1;0;0.333333333333333;49030
Bitonto;0.5;0.5;0.75;0.583333333333333;55354
Santeramo in Colle;0.666666666666667;0;0.875;0.513888888888889;26724
Sannicandro di Bari;0.0277777777777778;0;0.265625;0.0978009259259259;9952
Molfetta;0.333333333333333;0;0.6875;0.340277777777778;59623
Corato;0.388888888888889;1;0.6875;0.69212962962963;48313
Bitetto;0.0277777777777778;0;0.265625;0.0978009259259259;11999
Valenzano;0.0555555555555556;0;0.28125;0.112268518518519;17980
Adelfia;0.222222222222222;0;0.375;0.199074074074074;17139
Alberobello;0.111111111111111;0;0.3125;0.141203703703704;10735
Putignano;0.666666666666667;0;0.75;0.472222222222222;26783
Poggiorsini;0.075;0.9;0.546875;0.507291666666667;1486
Ruvo di Puglia;0.222222222222222;0;0.34375;0.188657407407407;25457
Conversano;0.0833333333333333;0;0.28125;0.121527777777778;26144
Gioia del Colle;0.133333333333333;0;0.59375;0.242361111111111;27667
Polignano a Mare;0.111111111111111;0;0.3125;0.141203703703704;18014
Cassano delle Murge;0.0555555555555556;0;0.28125;0.112268518518519;14776
Noicattaro;0.9;0;1;0.633333333333333;26297
Mola di Bari;0.166666666666667;0.5;0.40625;0.357638888888889;25554
Sammichele di Bari;0.0555555555555556;0;0.28125;0.112268518518519;6499
Turi;0.0555555555555556;0;0.25;0.101851851851852;13038
Terlizzi;0;0;0;0;26944
Triggiano;0;0;0;0;27247
Binetto;0;0;0;0;2256
Acquaviva delle Fonti;0;0;0;0;20760
Gravina in Puglia;0;0;0;0;43770
Palo del Colle;0;0;0;0;21561
Casamassima;0;0;0;0;19846
Grumo Appula;0;0;0;0;12812
Bitritto;0;0;0;0;11299
Rutigliano;0;0;0;0;18617
